SignalFile: /data00/OOsamples/Skims/skim_HiForest_250520_Hijing_MinimumBias_b015_OO_5362GeV_250518.root
BackgroundFileSD: /data00/OOsamples/Skims/skim_HiForest_250514_Starlight_SingleDiffraction_OO_5362GeV_1505PR47944.root
BackgroundFileDD: /data00/OOsamples/Skims/skim_HiForest_250514_Starlight_DoubleDiffraction_OO_5362GeV_1505PR47944.root
xsec_SD: 0.3 xsec_DD: 0.0003 xsec_had: 1.3 N: 31 xMax: 30 trkptcut: 0
HFEMaxCut Eff_Hijing(AND) Eff_Hijing(OR) Eff_SD(AND) Eff_SD(OR) Eff_DD(AND) Eff_DD(OR) BKGRej(AND) BKGRej(OR) Purity(AND) Purity(OR)
0 0.989944 0.98995 0.531392 0.531432 0.769394 0.769436 0.468608 0.468568 0.889637 0.88963
1 0.989944 0.98995 0.531392 0.531432 0.769394 0.769436 0.468608 0.468568 0.889637 0.88963
2 0.986827 0.989947 0.475857 0.530624 0.741394 0.769238 0.524143 0.469376 0.899724 0.889779
3 0.972072 0.989815 0.164741 0.505055 0.616373 0.762549 0.835259 0.494945 0.962227 0.894512
4 0.965288 0.989506 0.0538275 0.486922 0.55772 0.756245 0.946173 0.513078 0.987165 0.89788
5 0.960907 0.989037 0.0288917 0.478112 0.524347 0.751479 0.971108 0.521888 0.992985 0.899498
6 0.956292 0.988382 0.0218382 0.470842 0.496396 0.746448 0.978162 0.529158 0.994639 0.900814
7 0.950641 0.987467 0.0173752 0.46153 0.466355 0.740005 0.982625 0.53847 0.995688 0.902501
8 0.943519 0.986207 0.0138761 0.450671 0.434991 0.731545 0.986124 0.549329 0.996512 0.904464
9 0.935045 0.984567 0.0113007 0.43805 0.403007 0.721046 0.988699 0.56195 0.99712 0.906748
10 0.925477 0.982611 0.00904153 0.423531 0.37011 0.708713 0.990958 0.576469 0.997659 0.909393
11 0.914904 0.980055 0.00739488 0.407697 0.337512 0.694138 0.992605 0.592303 0.998053 0.912274
12 0.903301 0.977089 0.00594401 0.39098 0.30584 0.677208 0.994056 0.60902 0.998406 0.91533
13 0.890847 0.973576 0.00481445 0.373464 0.275166 0.658841 0.995186 0.626536 0.998683 0.918544
14 0.877876 0.969616 0.0039108 0.355064 0.245947 0.638286 0.996089 0.644936 0.998908 0.92195
15 0.864304 0.965134 0.00315776 0.336766 0.21908 0.616412 0.996842 0.663234 0.999099 0.925352
16 0.850326 0.960093 0.0025001 0.318251 0.193162 0.593226 0.9975 0.681749 0.99927 0.928818
17 0.835824 0.954496 0.00195791 0.300042 0.170795 0.568659 0.998042 0.699958 0.999413 0.932245
18 0.82081 0.948424 0.00161653 0.282496 0.150064 0.544054 0.998383 0.717504 0.999504 0.935568
19 0.806194 0.941946 0.00133037 0.265001 0.131076 0.518455 0.99867 0.734999 0.999582 0.938923
20 0.791483 0.935117 0.00108438 0.248645 0.113973 0.493112 0.998916 0.751355 0.999651 0.942079
21 0.776955 0.927727 0.000863488 0.232494 0.0988686 0.467601 0.999137 0.767506 0.999714 0.945226
22 0.762227 0.920193 0.000697819 0.217464 0.0856584 0.442545 0.999302 0.782536 0.999763 0.948184
23 0.747685 0.91215 0.00052713 0.20289 0.0744276 0.417887 0.999473 0.79711 0.999814 0.95108
24 0.733302 0.903979 0.000421704 0.189566 0.0645375 0.393985 0.999578 0.810434 0.999847 0.95375
25 0.719301 0.89554 0.000346399 0.176779 0.0558249 0.370507 0.999654 0.823221 0.999871 0.956344
26 0.705228 0.886858 0.000296197 0.164796 0.0482873 0.348628 0.999704 0.835204 0.999887 0.958798
27 0.691418 0.878103 0.000266075 0.153515 0.0418224 0.327071 0.999734 0.846485 0.999897 0.961141
28 0.677863 0.869104 0.000230933 0.142626 0.0359376 0.306591 0.999769 0.857374 0.999909 0.963435
29 0.664513 0.859929 0.000190771 0.132726 0.0308524 0.287596 0.999809 0.867274 0.999923 0.965535
30 0.65139 0.850675 0.000165669 0.123675 0.0268057 0.269325 0.999834 0.876325 0.999932 0.96747
