SignalFile: /data00/OOsamples/Skims/skim_HiForest_250520_Hijing_MinimumBias_b015_OO_5362GeV_250518.root
BackgroundFileSD: /data00/OOsamples/Skims/skim_HiForest_250514_Starlight_SingleDiffraction_OO_5362GeV_1505PR47944.root
BackgroundFileDD: /data00/OOsamples/Skims/skim_HiForest_250514_Starlight_DoubleDiffraction_OO_5362GeV_1505PR47944.root
xsec_SD: 0.3 xsec_DD: 0.0003 xsec_had: 1.3 N: 31 xMax: 30 trkptcut: 8
HFEMaxCut Eff_Hijing(AND) Eff_Hijing(OR) Eff_SD(AND) Eff_SD(OR) Eff_DD(AND) Eff_DD(OR) BKGRej(AND) BKGRej(OR) Purity(AND) Purity(OR)
0 0.998798 0.998798 0.613333 0.613333 0.888889 0.888889 0.386667 0.386667 0.875723 0.875723
1 0.998798 0.998798 0.613333 0.613333 0.888889 0.888889 0.386667 0.386667 0.875723 0.875723
2 0.998701 0.998798 0.566667 0.613333 0.874486 0.888889 0.433333 0.386667 0.884063 0.875723
3 0.998371 0.998798 0.2 0.613333 0.753086 0.888889 0.8 0.386667 0.955655 0.875723
4 0.998158 0.998778 0.0733333 0.613333 0.699588 0.888889 0.926667 0.386667 0.983172 0.87572
5 0.998003 0.998778 0.02 0.6 0.656379 0.884774 0.98 0.4 0.995246 0.87809
6 0.997809 0.998778 0.0133333 0.6 0.623457 0.884774 0.986667 0.4 0.996783 0.87809
7 0.997576 0.998778 0.0133333 0.586667 0.584362 0.880658 0.986667 0.413333 0.996791 0.880473
8 0.997246 0.998759 0.0133333 0.58 0.547325 0.872428 0.986667 0.42 0.996798 0.881668
9 0.997033 0.99874 0.00666667 0.566667 0.518519 0.860082 0.993333 0.433333 0.99834 0.884069
10 0.996413 0.998701 0.00666667 0.553333 0.497942 0.847737 0.993333 0.446667 0.998343 0.886482
11 0.995618 0.998643 0.00666667 0.526667 0.465021 0.835391 0.993333 0.473333 0.99835 0.891348
12 0.994745 0.998507 0.00666667 0.5 0.415638 0.825103 0.993333 0.5 0.99836 0.89626
13 0.993756 0.998371 0 0.5 0.390947 0.812757 1 0.5 0.999909 0.896249
14 0.993 0.998274 0 0.493333 0.36214 0.796296 1 0.506667 0.999916 0.897483
15 0.991623 0.998197 0 0.453333 0.323045 0.779835 1 0.546667 0.999925 0.90499
16 0.990421 0.998022 0 0.413333 0.296296 0.759259 1 0.586667 0.999931 0.912618
17 0.988889 0.997809 0 0.393333 0.269547 0.738683 1 0.606667 0.999937 0.916473
18 0.987318 0.997499 0 0.38 0.234568 0.722222 1 0.62 0.999945 0.919051
19 0.985631 0.997072 0 0.36 0.199588 0.691358 1 0.64 0.999953 0.922951
20 0.983227 0.996762 0 0.346667 0.193416 0.662551 1 0.653333 0.999955 0.925572
21 0.980764 0.996451 0 0.32 0.166667 0.631687 1 0.68 0.999961 0.930877
22 0.977797 0.995928 0 0.28 0.139918 0.596708 1 0.72 0.999967 0.938951
23 0.97547 0.995385 0 0.26 0.123457 0.576132 1 0.74 0.999971 0.94303
24 0.972794 0.994551 0 0.26 0.111111 0.541152 1 0.74 0.999974 0.942992
25 0.969537 0.993698 0 0.246667 0.100823 0.514403 1 0.753333 0.999976 0.945713
26 0.966628 0.992922 0 0.24 0.0925926 0.495885 1 0.76 0.999978 0.947064
27 0.963525 0.99236 0 0.24 0.0823045 0.465021 1 0.76 0.99998 0.947042
28 0.960287 0.991526 0 0.226667 0.0679012 0.450617 1 0.773333 0.999984 0.949794
29 0.956952 0.990382 0 0.206667 0.0493827 0.427984 1 0.793333 0.999988 0.953966
30 0.953248 0.989606 0 0.193333 0.0432099 0.409465 1 0.806667 0.99999 0.956773
